alertType,junctionName,coordinates_long,coordinates_lat,vehicleType,observationDateTime,junction_risk_score,vehicle_risk_score
SPEED_VIOLATION,Silk-board-junction,77.6215632103839,12.916363152560951,Truck,2024-01-01 00:55:00,0.95,0.4
RED_LIGHT_VIOLATION,Silk-board-junction,77.62234971667736,12.917385076196503,Motorbike,2024-01-01 02:25:00,0.95,0.8
RED_LIGHT_VIOLATION,Silk-board-junction,77.62385338994392,12.917360627398017,Auto,2024-01-01 03:31:00,0.95,0.6
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61204519769524,12.93341875652655,Car,2024-01-01 04:19:00,0.8,0.5
RED_LIGHT_VIOLATION,Hebbal-flyover,77.5924958615824,13.036001204181598,Auto,2024-01-01 04:24:00,0.85,0.6
RED_LIGHT_VIOLATION,Silk-board-junction,77.6222847397351,12.917676644570037,Auto,2024-01-01 05:37:00,0.95,0.6
WRONG_WAY,Koramangala-5thblock,77.61151150639711,12.935118242956415,Auto,2024-01-01 05:38:00,0.8,0.6
SPEED_VIOLATION,Hebbal-flyover,77.59316663607763,13.03515208880692,Bus,2024-01-01 06:51:00,0.85,0.3
RED_LIGHT_VIOLATION,MG-Road-brigade,77.60459643578602,12.97530047174907,Motorbike,2024-01-01 07:03:00,0.9,0.8
RED_LIGHT_VIOLATION,Hebbal-flyover,77.5917029902921,13.03468289601981,Truck,2024-01-01 07:05:00,0.85,0.4
SPEED_VIOLATION,Koramangala-5thblock,77.61160024115527,12.935451919015595,Car,2024-01-01 07:08:00,0.8,0.5
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59232823239832,13.036359306203737,Truck,2024-01-01 07:28:00,0.85,0.4
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59157570781002,13.033671938901314,Car,2024-01-01 07:46:00,0.85,0.5
RED_LIGHT_VIOLATION,Silk-board-junction,77.62146761954938,12.91729977901273,Motorbike,2024-01-01 08:03:00,0.95,0.8
SPEED_VIOLATION,JPnagar-8thmain-9thcross,77.59647006817839,12.911124657251182,Auto,2024-01-01 08:03:00,0.7,0.6
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59200631442046,13.036239807135733,Bus,2024-01-01 08:22:00,0.85,0.3
RED_LIGHT_VIOLATION,Whitefield-main-road,77.75118541423909,12.970430774025175,Truck,2024-01-01 09:24:00,0.5,0.4
SPEED_VIOLATION,Indiranagar-100ft-road,77.64363221774373,12.977706389385846,Truck,2024-01-01 09:27:00,0.75,0.4
SPEED_VIOLATION,MG-Road-brigade,77.60429819321575,12.975351352383013,Car,2024-01-01 09:28:00,0.9,0.5
RED_LIGHT_VIOLATION,Electronic-city-toll,77.67022761130215,12.839528833118594,Bus,2024-01-01 09:59:00,0.4,0.3
RED_LIGHT_VIOLATION,Silk-board-junction,77.62200802243159,12.916698099331896,Car,2024-01-01 10:15:00,0.95,0.5
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61216085052845,12.9349036057063,Truck,2024-01-01 11:03:00,0.8,0.4
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64140286951356,12.977699860281893,Auto,2024-01-01 11:12:00,0.75,0.6
SPEED_VIOLATION,Koramangala-5thblock,77.61223518032534,12.93713011067993,Car,2024-01-01 11:25:00,0.8,0.5
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59453464362969,12.908621216539453,Motorbike,2024-01-01 11:49:00,0.7,0.8
SPEED_VIOLATION,Silk-board-junction,77.62435506379863,12.91704656949042,Truck,2024-01-01 12:07:00,0.95,0.4
SPEED_VIOLATION,Whitefield-main-road,77.74980133990942,12.969254976114899,Car,2024-01-01 12:36:00,0.5,0.5
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.6396514652778,12.97814680142329,Auto,2024-01-01 12:51:00,0.75,0.6
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.5952961600114,12.911083641203573,Truck,2024-01-01 12:53:00,0.7,0.4
SPEED_VIOLATION,JPnagar-8thmain-9thcross,77.59637677365826,12.909034365515017,Truck,2024-01-01 13:09:00,0.7,0.4
SPEED_VIOLATION,Electronic-city-toll,77.66841508181682,12.839308068178543,Car,2024-01-01 13:19:00,0.4,0.5
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61184221059594,12.935922150237433,Car,2024-01-01 13:21:00,0.8,0.5
WRONG_WAY,Silk-board-junction,77.62385991858667,12.916816256969954,Motorbike,2024-01-01 13:35:00,0.95,0.8
SPEED_VIOLATION,Koramangala-5thblock,77.6102840974299,12.935077201028284,Car,2024-01-01 15:20:00,0.8,0.5
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59133613701354,13.034433835468809,Motorbike,2024-01-01 15:44:00,0.85,0.8
WRONG_WAY,Hebbal-flyover,77.5900842821813,13.037923944983415,Bus,2024-01-01 16:06:00,0.85,0.3
RED_LIGHT_VIOLATION,Electronic-city-toll,77.669803444448,12.838814293210902,Car,2024-01-01 16:07:00,0.4,0.5
RED_LIGHT_VIOLATION,MG-Road-brigade,77.60701590420116,12.974303229864052,Truck,2024-01-01 16:09:00,0.9,0.4
RED_LIGHT_VIOLATION,Whitefield-main-road,77.75050148675894,12.970303750143664,Motorbike,2024-01-01 16:34:00,0.5,0.8
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64273975968638,12.977382625788794,Bus,2024-01-01 16:54:00,0.75,0.3
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59454248577565,12.910708874622792,Car,2024-01-01 17:07:00,0.7,0.5
RED_LIGHT_VIOLATION,Silk-board-junction,77.6225792103672,12.91704153899242,Auto,2024-01-01 17:16:00,0.95,0.6
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64304436037875,12.97911266184755,Auto,2024-01-01 17:30:00,0.75,0.6
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61222266318133,12.935116210415897,Motorbike,2024-01-01 19:10:00,0.8,0.8
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59421054936232,12.91075506674828,Auto,2024-01-01 19:26:00,0.7,0.6
RED_LIGHT_VIOLATION,Silk-board-junction,77.62219436248365,12.919338730616724,Truck,2024-01-01 19:36:00,0.95,0.4
SPEED_VIOLATION,Silk-board-junction,77.62251145716272,12.917628484267714,Car,2024-01-01 20:50:00,0.95,0.5
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59674134996015,12.910951306142369,Truck,2024-01-01 22:03:00,0.7,0.4
RED_LIGHT_VIOLATION,Whitefield-main-road,77.7494861182083,12.96975400809623,Auto,2024-01-01 22:38:00,0.5,0.6
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61297732109512,12.935934267421802,Auto,2024-01-01 22:45:00,0.8,0.6
RED_LIGHT_VIOLATION,Whitefield-main-road,77.75008612569765,12.968061089417118,Truck,2024-01-01 23:23:00,0.5,0.4
RED_LIGHT_VIOLATION,Whitefield-main-road,77.75306291191399,12.97070182194444,Car,2024-01-02 02:12:00,0.5,0.5
WRONG_WAY,Silk-board-junction,77.62252051211681,12.916699207514837,Auto,2024-01-02 02:26:00,0.95,0.6
WRONG_WAY,Hebbal-flyover,77.59206402209685,13.034950715211197,Motorbike,2024-01-02 04:00:00,0.85,0.8
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61201434990491,12.934432593845147,Auto,2024-01-02 04:37:00,0.8,0.6
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.63984219483656,12.976423355831402,Auto,2024-01-02 06:19:00,0.75,0.6
RED_LIGHT_VIOLATION,Silk-board-junction,77.62396506592697,12.91802242637817,Auto,2024-01-02 06:22:00,0.95,0.6
RED_LIGHT_VIOLATION,MG-Road-brigade,77.60630888060189,12.974302381637427,Truck,2024-01-02 06:34:00,0.9,0.4
RED_LIGHT_VIOLATION,Silk-board-junction,77.62394888099216,12.917105941459226,Car,2024-01-02 07:05:00,0.95,0.5
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.6124986947168,12.936849214784298,Auto,2024-01-02 07:11:00,0.8,0.6
SPEED_VIOLATION,Electronic-city-toll,77.6705652217485,12.840687149038521,Motorbike,2024-01-02 07:28:00,0.4,0.8
RED_LIGHT_VIOLATION,Silk-board-junction,77.62097475643306,12.916920358563319,Auto,2024-01-02 07:54:00,0.95,0.6
RED_LIGHT_VIOLATION,MG-Road-brigade,77.6064578983147,12.975840681355661,Auto,2024-01-02 08:16:00,0.9,0.6
RED_LIGHT_VIOLATION,Silk-board-junction,77.62382653783864,12.917998843844686,Car,2024-01-02 08:35:00,0.95,0.5
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59122446012194,13.036154821044443,Motorbike,2024-01-02 09:04:00,0.85,0.8
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61120837266951,12.93495475784225,Truck,2024-01-02 09:19:00,0.8,0.4
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.6409711154135,12.978496410881203,Car,2024-01-02 09:23:00,0.75,0.5
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59134107866642,13.037173152515027,Bus,2024-01-02 09:28:00,0.85,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59182520223716,13.03733163069664,Motorbike,2024-01-02 09:30:00,0.85,0.8
RED_LIGHT_VIOLATION,Electronic-city-toll,77.66940859006489,12.840009453986127,Motorbike,2024-01-02 09:42:00,0.4,0.8
SPEED_VIOLATION,Whitefield-main-road,77.75023299445506,12.969379487955289,Bus,2024-01-02 09:48:00,0.5,0.3
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59502171428834,12.910693050856816,Bus,2024-01-02 10:04:00,0.7,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59206609937242,13.034541909538529,Motorbike,2024-01-02 10:10:00,0.85,0.8
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59462106988614,12.90886009539349,Truck,2024-01-02 10:20:00,0.7,0.4
SPEED_VIOLATION,MG-Road-brigade,77.60603022948855,12.975197145783703,Car,2024-01-02 10:20:00,0.9,0.5
RED_LIGHT_VIOLATION,Silk-board-junction,77.62195779727182,12.918314937317747,Truck,2024-01-02 10:22:00,0.95,0.4
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64046313227503,12.977107022008099,Truck,2024-01-02 10:44:00,0.75,0.4
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.6104718898876,12.935098233342702,Motorbike,2024-01-02 11:21:00,0.8,0.8
SPEED_VIOLATION,Koramangala-5thblock,77.61313644508095,12.934096124002384,Bus,2024-01-02 11:48:00,0.8,0.3
RED_LIGHT_VIOLATION,MG-Road-brigade,77.60676006500081,12.975659926332396,Car,2024-01-02 12:02:00,0.9,0.5
RED_LIGHT_VIOLATION,Whitefield-main-road,77.75076318479155,12.967770628244677,Car,2024-01-02 12:25:00,0.5,0.5
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59570375612036,12.909961193540124,Auto,2024-01-02 13:58:00,0.7,0.6
SPEED_VIOLATION,Hebbal-flyover,77.59264879144756,13.032443852845478,Bus,2024-01-02 14:30:00,0.85,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59158019952825,13.03687441005842,Auto,2024-01-02 14:30:00,0.85,0.6
WRONG_WAY,Whitefield-main-road,77.75211533850262,12.969261144391812,Bus,2024-01-02 14:37:00,0.5,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59103887034068,13.035137988569364,Bus,2024-01-02 14:37:00,0.85,0.3
SPEED_VIOLATION,MG-Road-brigade,77.60531535653065,12.974242225121971,Car,2024-01-02 14:41:00,0.9,0.5
SPEED_VIOLATION,MG-Road-brigade,77.60817449554936,12.9749786339599,Auto,2024-01-02 15:11:00,0.9,0.6
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.6112816223573,12.93453881152196,Car,2024-01-02 15:35:00,0.8,0.5
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59572295090076,12.909859008591386,Auto,2024-01-02 15:48:00,0.7,0.6
SPEED_VIOLATION,Hebbal-flyover,77.59366663491583,13.033749733794215,Car,2024-01-02 16:00:00,0.85,0.5
RED_LIGHT_VIOLATION,Electronic-city-toll,77.67116742844226,12.841351119091964,Auto,2024-01-02 16:03:00,0.4,0.6
RED_LIGHT_VIOLATION,Silk-board-junction,77.62287630859564,12.918198088474085,Car,2024-01-02 16:16:00,0.95,0.5
SPEED_VIOLATION,JPnagar-8thmain-9thcross,77.59477157339289,12.911442900734256,Motorbike,2024-01-02 18:19:00,0.7,0.8
RED_LIGHT_VIOLATION,Electronic-city-toll,77.66889551687004,12.839420012186794,Car,2024-01-02 18:23:00,0.4,0.5
RED_LIGHT_VIOLATION,Hebbal-flyover,77.5916795095482,13.035932940598281,Motorbike,2024-01-02 18:23:00,0.85,0.8
RED_LIGHT_VIOLATION,Silk-board-junction,77.62199453158368,12.916161227353921,Car,2024-01-02 18:42:00,0.95,0.5
RED_LIGHT_VIOLATION,Whitefield-main-road,77.74975507442115,12.969040508062168,Car,2024-01-02 18:52:00,0.5,0.5
SPEED_VIOLATION,Hebbal-flyover,77.59064845917867,13.034445048202844,Truck,2024-01-02 18:52:00,0.85,0.4
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61185656708602,12.93429772852141,Bus,2024-01-02 18:58:00,0.8,0.3
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61173636057357,12.935225513990417,Bus,2024-01-02 19:11:00,0.8,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59212015680696,13.034643126189122,Auto,2024-01-02 19:19:00,0.85,0.6
SPEED_VIOLATION,Indiranagar-100ft-road,77.64053993721713,12.976762220954257,Auto,2024-01-02 19:19:00,0.75,0.6
SPEED_VIOLATION,Indiranagar-100ft-road,77.63994154493561,12.978472638122954,Motorbike,2024-01-02 19:28:00,0.75,0.8
SPEED_VIOLATION,Silk-board-junction,77.62509285117883,12.917687118811939,Auto,2024-01-02 19:36:00,0.95,0.6
RED_LIGHT_VIOLATION,Silk-board-junction,77.62074616119901,12.917303766664192,Auto,2024-01-02 19:36:00,0.95,0.6
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59501553731508,12.910158943863564,Motorbike,2024-01-02 20:08:00,0.7,0.8
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64218087414594,12.977683462777911,Bus,2024-01-02 21:16:00,0.75,0.3
RED_LIGHT_VIOLATION,Silk-board-junction,77.62402045452752,12.917863549102298,Bus,2024-01-02 21:26:00,0.95,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59246117625433,13.0363310752014,Auto,2024-01-02 21:39:00,0.85,0.6
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59146695214831,13.035797383365384,Bus,2024-01-02 21:50:00,0.85,0.3
RED_LIGHT_VIOLATION,JPnagar-8thmain-9thcross,77.59689270802868,12.911498893960019,Bus,2024-01-02 22:44:00,0.7,0.3
SPEED_VIOLATION,Indiranagar-100ft-road,77.64143282602758,12.977785472527616,Truck,2024-01-02 22:59:00,0.75,0.4
SPEED_VIOLATION,Silk-board-junction,77.62269688799586,12.918327797693383,Motorbike,2024-01-03 00:02:00,0.95,0.8
RED_LIGHT_VIOLATION,Indiranagar-100ft-road,77.64097273583387,12.97741867511037,Auto,2024-01-03 00:06:00,0.75,0.6
SPEED_VIOLATION,Hebbal-flyover,77.59180095183352,13.03434041181186,Motorbike,2024-01-03 00:09:00,0.85,0.8
SPEED_VIOLATION,Indiranagar-100ft-road,77.64083716900473,12.979399630880783,Truck,2024-01-03 01:48:00,0.75,0.4
RED_LIGHT_VIOLATION,Electronic-city-toll,77.67013842498044,12.839333738055986,Bus,2024-01-03 06:20:00,0.4,0.3
RED_LIGHT_VIOLATION,Hebbal-flyover,77.591600381459,13.035142303509163,Auto,2024-01-03 06:21:00,0.85,0.6
RED_LIGHT_VIOLATION,Hebbal-flyover,77.59303799798109,13.035910073946571,Motorbike,2024-01-03 06:58:00,0.85,0.8
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61178524332915,12.93591497145571,Car,2024-01-03 07:14:00,0.8,0.5
RED_LIGHT_VIOLATION,Koramangala-5thblock,77.61219491946802,12.93507998566143,Bus,2024-01-03 07:18:00,0.8,0.3
